Wed. Oct.  5, 2016             LANDSAT 5                 Time: 18:24
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20222686            Path/Row: 201 / 030

L0R Reference Image: L51MPS1011273100100_HDF.162792321
Acquisition Date: Sep 30, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
201   030   06-19-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2010300001_01   43.306742   -2.200205    67.408       1.078     1.083     0.847     1.270
2010300002_01   43.480233   -3.876116    57.061      -1.110    -0.822    -0.928    -1.020
2010300003_01   43.288673   -2.972902    49.557      -0.693    -0.050    -0.670    -0.183
2010300005_01   43.443848   -3.962699    56.608       6.192     3.720     5.357     4.841
2010300006_01   43.209762   -2.418651    99.590      -0.043     3.078    -0.637     3.010
2010300007_01   43.444083   -3.467748    49.043      -5.102    -0.630    -4.881    -1.601
2010300008_01   43.272817   -2.100461    51.861      -2.315    -1.614    -1.960    -2.031
2010300010_01   42.638903   -3.021221   635.924       0.032     2.425    -0.438     2.382
2010300012_01   43.340498   -3.017720    49.222      -3.290    -0.271    -3.174    -0.900
2010300015_01   43.268397   -2.934867    58.686       4.763     2.735     4.144     3.601
2010300016_01   43.234845   -2.871363    88.183       2.212    -0.703     2.305    -0.263
2010300017_01   42.663139   -2.897419   503.229       1.929     3.997     1.117     4.289
2010300018_01   43.471913   -3.723922    67.295      -1.768     0.237    -1.778    -0.108
2010300020_01   43.263515   -2.019281    75.615      -2.973     0.279    -2.971    -0.301
2010300021_01   42.698591   -2.404228   658.178       0.865    -0.020     0.850     0.147
2010300022_01   43.165597   -2.582547   193.955       4.679    -0.810     4.743     0.109
2010300025_01   42.858466   -2.666942   571.387      -0.581     2.270    -1.008     2.112
2010300026_01   43.368144   -1.781701    58.016      -0.408    -3.207     0.216    -3.224
2010300027_01   42.745352   -2.087257   586.363       2.137     3.558     1.405     3.900
2010300028_01   43.157953   -2.633474   182.545       2.267    -0.886     2.393    -0.431
