==============================================================================
==============================================================================
Wed. Oct. 5 2016                  LANDSAT 5                       Time: 23:25
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501610054481_05316                          Path / Row - 201 / 30
Reference Image: L51MPS1011273100100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 97.7%
Rank   2 --  2.3%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2010301819   43.50676     -3.62151    -0.23      0.17     0.29     1 
2010301820   43.50697     -3.58180     0.17      0.05     0.18     1 
2010301821   43.50717     -3.54209     0.09     -0.02     0.09     1 
2010301886   43.47894     -3.93876     0.18      0.03     0.19     1 
2010301887   43.47926     -3.89907     0.28      0.10     0.30     1 
2010301889   43.47985     -3.81970     0.08     -0.17     0.19     1 
2010301890   43.48013     -3.78001    -0.02      0.18     0.18     1 
2010301891   43.48039     -3.74032     0.02      0.03     0.04     1 
2010301893   43.48088     -3.66094    -0.09      0.17     0.19     1 
2010301894   43.48110     -3.62125     0.17      0.24     0.29     1 
2010301895   43.48131     -3.58155    -0.10     -0.01     0.10     1 
2010301896   43.48150     -3.54186     0.01      0.04     0.04     1 
2010301961   43.45328     -3.93836    -0.27     -0.20     0.33     1 
2010301963   43.45390     -3.85902    -0.10      0.07     0.12     1 
2010301964   43.45419     -3.81935    -0.09      0.03     0.10     1 
2010301965   43.45447     -3.77968    -0.09     -0.19     0.21     1 
2010301966   43.45473     -3.74001    -0.25      0.10     0.27     1 
2010301968   43.45522     -3.66066    -0.01     -0.09     0.10     1 
2010301969   43.45544     -3.62098    -0.19      0.05     0.20     1 
2010301970   43.45565     -3.58131    -0.15      0.12     0.19     1 
2010301971   43.45584     -3.54163    -0.28     -0.09     0.29     1 
2010301972   43.45602     -3.50196    -0.30      0.02     0.30     1 
2010301973   43.45619     -3.46228     0.06      0.05     0.08     1 
2010301974   43.45635     -3.42261     0.18      0.14     0.23     1 
2010301990   43.45693     -2.78777     0.33      0.44     0.55     2 
2010301991   43.45685     -2.74809    -0.31      0.08     0.32     1 
2010302034   43.42694     -4.01727    -0.05     -0.30     0.31     1 
2010302035   43.42729     -3.97762    -0.16      0.03     0.16     1 
2010302036   43.42762     -3.93797    -0.09      0.08     0.12     1 
2010302037   43.42794     -3.89831    -0.12     -0.03     0.13     1 
2010302038   43.42824     -3.85866     0.03     -0.01     0.03     1 
2010302039   43.42853     -3.81900     0.04      0.06     0.07     1 
2010302040   43.42881     -3.77935    -0.02     -0.05     0.05     1 
2010302041   43.42907     -3.73969     0.09     -0.07     0.12     1 
2010302042   43.42932     -3.70004     0.24      0.13     0.28     1 
2010302043   43.42956     -3.66038    -0.40      0.15     0.42     1 
2010302045   43.42999     -3.58106    -0.10      0.24     0.26     1 
2010302046   43.43018     -3.54141    -0.46      0.02     0.46     1 
2010302047   43.43036     -3.50175    -0.28     -0.13     0.31     1 
2010302048   43.43053     -3.46209     0.07     -0.20     0.21     1 
2010302061   43.43145     -2.94650     0.13     -0.06     0.14     1 
2010302063   43.43139     -2.86718    -0.17      0.02     0.17     1 
2010302065   43.43127     -2.78786    -0.12      0.04     0.12     1 
2010302066   43.43119     -2.74820    -0.29      0.29     0.41     1 
2010302067   43.43109     -2.70854     0.46     -0.32     0.56     2 
2010302109   43.40128     -4.01684     0.04      0.15     0.16     1 
2010302110   43.40163     -3.97721    -0.04     -0.02     0.05     1 
2010302111   43.40196     -3.93757    -0.21      0.00     0.21     1 
2010302112   43.40228     -3.89793    -0.32     -0.10     0.33     1 
2010302113   43.40258     -3.85830    -0.17     -0.04     0.17     1 
2010302114   43.40287     -3.81866    -0.08      0.04     0.09     1 
2010302115   43.40315     -3.77902    -0.07      0.03     0.07     1 
2010302117   43.40366     -3.69974    -0.18     -0.12     0.22     1 
2010302118   43.40390     -3.66010    -0.03     -0.10     0.11     1 
2010302119   43.40412     -3.62046    -0.48      0.02     0.48     1 
